id,atwood,viscosity,resolution,growth_rate,amplitude_0,r_squared,std_error,time_range,n_points,method,all_methods,growth_rate_theory,relative_error
input_A0.3_nu4.64e-05_res256_output.npz,0.3,4.64e-05,256,103.69157238907134,0.0001665622958932126,0.9921364902397748,3.2637807025486887,"[np.float64(0.006), np.float64(0.015)]",10,linear,"{'linear': {'growth_rate': np.float64(103.69157238907134), 'amplitude_0': np.float64(0.0001665622958932126), 'r_squared': np.float64(0.9921364902397748), 'std_error': np.float64(3.2637807025486887), 'time_range': [np.float64(0.006), np.float64(0.015)], 'n_points': 10, 'method': 'linear', 'all_methods': {...}}, 'exponential': {'growth_rate': np.float64(18.20966546792245), 'amplitude_0': np.float64(0.0008890702723348185), 'r_squared': np.float64(0.9519257805068803), 'std_error': np.float64(0.5031782782894846), 'time_range': [np.float64(0.005), np.float64(0.099)]}, 'dmd': {'growth_rate': np.float64(10.283899957931968), 'all_growth_rates': [10.283899957931968, -27.91649145777854, -36.443713244622046, -36.443713244622046, -1063.065221568021], 'mode_amplitudes': [0.004401313845850493, 0.0037130132423846716, 1.4916285381727344e-06, 1.4916285381727022e-06, 3.805232176002282e-06], 'r_squared': np.float64(0.7109896501342687), 'n_modes': 5}, 'fourier': {'growth_rate': np.float64(16.466665930503996), 'dominant_frequency': np.float64(240.0), 'r_squared': np.float64(0.682873496045384), 'std_error': np.float64(1.1335450331974783)}}",43.001644572073666,1.4113396922593797
input_A0.5_nu4.64e-06_res256_output.npz,0.5,4.64e-06,256,26.69812917864877,0.00040424297492687477,0.9928808974244044,0.7992817268272762,"[np.float64(0.037), np.float64(0.046)]",10,linear,"{'linear': {'growth_rate': np.float64(26.69812917864877), 'amplitude_0': np.float64(0.00040424297492687477), 'r_squared': np.float64(0.9928808974244044), 'std_error': np.float64(0.7992817268272762), 'time_range': [np.float64(0.037), np.float64(0.046)], 'n_points': 10, 'method': 'linear', 'all_methods': {...}}, 'exponential': {'growth_rate': np.float64(18.150667248717706), 'amplitude_0': np.float64(0.0005357287471624714), 'r_squared': np.float64(0.9489421135927092), 'std_error': np.float64(0.5181259149423416), 'time_range': [np.float64(0.005), np.float64(0.099)]}, 'dmd': {'growth_rate': np.float64(10.446596691006443), 'all_growth_rates': [-138.6852531535966, -138.6852531535966, 10.446596691006443, -40.14525032362588, -617.7598391363641], 'mode_amplitudes': [1.6463737558418106e-05, 1.646373755841805e-05, 0.002753706304626097, 0.002560854329644157, 0.00021894327911505237], 'r_squared': np.float64(0.844492119442023), 'n_modes': 5}, 'fourier': {'growth_rate': np.float64(16.602143636062873), 'dominant_frequency': np.float64(300.0), 'r_squared': np.float64(0.6836480529606228), 'std_error': np.float64(1.1408277964774178)}}",55.51488442905728,0.5190816039117144
input_A0.5_nu1.00e-04_res256_output.npz,0.5,0.0001,256,75.27408121031429,0.000392566790432731,0.9886666025704435,2.849414284131985,"[np.float64(0.009000000000000001), np.float64(0.018000000000000002)]",10,linear,"{'linear': {'growth_rate': np.float64(75.27408121031429), 'amplitude_0': np.float64(0.000392566790432731), 'r_squared': np.float64(0.9886666025704435), 'std_error': np.float64(2.849414284131985), 'time_range': [np.float64(0.009000000000000001), np.float64(0.018000000000000002)], 'n_points': 10, 'method': 'linear', 'all_methods': {...}}, 'exponential': {'growth_rate': np.float64(18.095036422146705), 'amplitude_0': np.float64(0.0014889322490428153), 'r_squared': np.float64(0.9499318645510891), 'std_error': np.float64(0.5106627189807859), 'time_range': [np.float64(0.005), np.float64(0.099)]}, 'dmd': {'growth_rate': np.float64(9.450099905947935), 'all_growth_rates': [9.450099905947935, -32.12807458407038, -176.61758513552562, -827.2867500349214, -827.2867500349214], 'mode_amplitudes': [0.007075764602648349, 0.005935746613228891, 5.074970498692184e-05, 0.0005462376104085856, 0.0005462376104085853], 'r_squared': np.float64(0.5769562681531117), 'n_modes': 5}, 'fourier': {'growth_rate': np.float64(16.46697183568232), 'dominant_frequency': np.float64(460.0), 'r_squared': np.float64(0.6845412707243508), 'std_error': np.float64(1.1292033588332997)}}",55.51488442905728,0.35592610854675155
input_A0.5_nu2.15e-04_res256_output.npz,0.5,0.000215,256,79.40429884689026,0.00047480833489110314,0.9928605566402317,2.3806035070360503,"[np.float64(0.009000000000000001), np.float64(0.018000000000000002)]",10,linear,"{'linear': {'growth_rate': np.float64(79.40429884689026), 'amplitude_0': np.float64(0.00047480833489110314), 'r_squared': np.float64(0.9928605566402317), 'std_error': np.float64(2.3806035070360503), 'time_range': [np.float64(0.009000000000000001), np.float64(0.018000000000000002)], 'n_points': 10, 'method': 'linear', 'all_methods': {...}}, 'exponential': {'growth_rate': np.float64(18.173517239950044), 'amplitude_0': np.float64(0.0019189804865472658), 'r_squared': np.float64(0.9513648542109315), 'std_error': np.float64(0.504964836459997), 'time_range': [np.float64(0.005), np.float64(0.099)]}, 'dmd': {'growth_rate': np.float64(10.283509769229624), 'all_growth_rates': [10.283509769229624, -30.38643512596278, -15.66687633898835, -44.47143066702425, -44.47143066702425], 'mode_amplitudes': [0.009109644760781958, 0.00761444330294153, 1.159038933854408e-06, 3.4276210286561074e-07, 3.427621028657169e-07], 'r_squared': np.float64(0.664064336661151), 'n_modes': 5}, 'fourier': {'growth_rate': np.float64(16.426147810471505), 'dominant_frequency': np.float64(490.0), 'r_squared': np.float64(0.6811682816275876), 'std_error': np.float64(1.1352100834948582)}}",55.51488442905728,0.43032449159398617
input_A0.3_nu4.64e-04_res256_output.npz,0.3,0.000464,256,72.75318070993866,0.00052310675393341,0.9931223529076757,2.140550887451158,"[np.float64(0.01), np.float64(0.019)]",10,linear,"{'linear': {'growth_rate': np.float64(72.75318070993866), 'amplitude_0': np.float64(0.00052310675393341), 'r_squared': np.float64(0.9931223529076757), 'std_error': np.float64(2.140550887451158), 'time_range': [np.float64(0.01), np.float64(0.019)], 'n_points': 10, 'method': 'linear', 'all_methods': {...}}, 'exponential': {'growth_rate': np.float64(18.122974517706286), 'amplitude_0': np.float64(0.0019312480414581683), 'r_squared': np.float64(0.9505657171176146), 'std_error': np.float64(0.5080262784641205), 'time_range': [np.float64(0.005), np.float64(0.099)]}, 'dmd': {'growth_rate': np.float64(4.792222585658171), 'all_growth_rates': [4.792222585658171, -23.33000993573264, -147.40395036854085, -147.40395036854085, -1050.9075436087203], 'mode_amplitudes': [0.013275795196863331, 0.011812288293833224, 1.3344228674809184e-05, 1.334422867480884e-05, 6.523032939583732e-05], 'r_squared': np.float64(0.4868675763450586), 'n_modes': 5}, 'fourier': {'growth_rate': np.float64(16.497088545005322), 'dominant_frequency': np.float64(20.0), 'r_squared': np.float64(0.6847368890073607), 'std_error': np.float64(1.1307562145915924)}}",43.001644572073666,0.6918697280984082
input_A0.3_nu1.00e-03_res256_output.npz,0.3,0.001,256,53.46466466036704,0.0009377344004187904,0.9958800989753094,1.2157988218429072,"[np.float64(0.015), np.float64(0.024)]",10,linear,"{'linear': {'growth_rate': np.float64(53.46466466036704), 'amplitude_0': np.float64(0.0009377344004187904), 'r_squared': np.float64(0.9958800989753094), 'std_error': np.float64(1.2157988218429072), 'time_range': [np.float64(0.015), np.float64(0.024)], 'n_points': 10, 'method': 'linear', 'all_methods': {...}}, 'exponential': {'growth_rate': np.float64(17.961640080751305), 'amplitude_0': np.float64(0.002520111905242251), 'r_squared': np.float64(0.9459714547370267), 'std_error': np.float64(0.5278514668471962), 'time_range': [np.float64(0.005), np.float64(0.099)]}, 'dmd': {'growth_rate': np.float64(9.338457809216616), 'all_growth_rates': [-83.00726363503902, -83.00726363503902, 9.338457809216616, -39.02892423607656, -539.3259961341136], 'mode_amplitudes': [2.848331370498191e-05, 2.8483313704977558e-05, 0.010366116790157165, 0.008472027939608353, 2.6887049497069626e-05], 'r_squared': np.float64(0.3331742047016222), 'n_modes': 5}, 'fourier': {'growth_rate': np.float64(16.563119272360204), 'dominant_frequency': np.float64(340.0), 'r_squared': np.float64(0.6898943303663376), 'std_error': np.float64(1.1217411625800606)}}",43.001644572073666,0.24331674270635503
input_A0.5_nu1.00e-05_res256_output.npz,0.5,1e-05,256,84.61111665601035,0.00016082329910736294,0.9898079801963298,3.0355478780731264,"[np.float64(0.008), np.float64(0.017)]",10,linear,"{'linear': {'growth_rate': np.float64(84.61111665601035), 'amplitude_0': np.float64(0.00016082329910736294), 'r_squared': np.float64(0.9898079801963298), 'std_error': np.float64(3.0355478780731264), 'time_range': [np.float64(0.008), np.float64(0.017)], 'n_points': 10, 'method': 'linear', 'all_methods': {...}}, 'exponential': {'growth_rate': np.float64(18.08133231853443), 'amplitude_0': np.float64(0.0006948906307663597), 'r_squared': np.float64(0.9475617037825258), 'std_error': np.float64(0.5231203109677794), 'time_range': [np.float64(0.005), np.float64(0.099)]}, 'dmd': {'growth_rate': np.float64(12.151761436496452), 'all_growth_rates': [12.151761436496452, -40.32247314208171, -155.12428936033248, -155.12428936033248, -234.01425654243525], 'mode_amplitudes': [0.0026930232897879624, 0.0021860902900961163, 1.7013220131648168e-05, 1.7013220131648158e-05, 8.397634487684575e-06], 'r_squared': np.float64(0.5996685179725907), 'n_modes': 5}, 'fourier': {'growth_rate': np.float64(16.53385926288093), 'dominant_frequency': np.float64(360.0), 'r_squared': np.float64(0.6856241203122396), 'std_error': np.float64(1.1309483301802554)}}",55.51488442905728,0.5241158749800745
input_A0.3_nu2.15e-06_res256_output.npz,0.3,2.15e-06,256,58.090529656084264,0.00010916276294868772,0.9860201072424715,2.445509628518436,"[np.float64(0.013000000000000001), np.float64(0.022)]",10,linear,"{'linear': {'growth_rate': np.float64(58.090529656084264), 'amplitude_0': np.float64(0.00010916276294868772), 'r_squared': np.float64(0.9860201072424715), 'std_error': np.float64(2.445509628518436), 'time_range': [np.float64(0.013000000000000001), np.float64(0.022)], 'n_points': 10, 'method': 'linear', 'all_methods': {...}}, 'exponential': {'growth_rate': np.float64(18.500488003235333), 'amplitude_0': np.float64(0.0003114408226026537), 'r_squared': np.float64(0.933280468851769), 'std_error': np.float64(0.6155283317074346), 'time_range': [np.float64(0.005), np.float64(0.099)]}, 'dmd': {'growth_rate': np.float64(14.03538519229215), 'all_growth_rates': [-271.06689467538155, -271.06689467538155, 14.03538519229215, -176.82359894018904, -176.82359894018904], 'mode_amplitudes': [9.260882133556882e-07, 9.260882133556692e-07, 0.00010597486375425275, 1.0091391982922299e-05, 1.0091391982922248e-05], 'r_squared': np.float64(-2.649585802101769), 'n_modes': 5}, 'fourier': {'growth_rate': np.float64(17.214122316959855), 'dominant_frequency': np.float64(70.0), 'r_squared': np.float64(0.6127497974794661), 'std_error': np.float64(1.3823756819342228)}}",43.001644572073666,0.35089088415492126
input_A0.5_nu2.15e-05_res256_output.npz,0.5,2.15e-05,256,64.4499804327741,0.0002753740338878268,0.9923176795649316,2.004927352506006,"[np.float64(0.011), np.float64(0.02)]",10,linear,"{'linear': {'growth_rate': np.float64(64.4499804327741), 'amplitude_0': np.float64(0.0002753740338878268), 'r_squared': np.float64(0.9923176795649316), 'std_error': np.float64(2.004927352506006), 'time_range': [np.float64(0.011), np.float64(0.02)], 'n_points': 10, 'method': 'linear', 'all_methods': {...}}, 'exponential': {'growth_rate': np.float64(18.157973060808153), 'amplitude_0': np.float64(0.0008918428607147742), 'r_squared': np.float64(0.9492596629974328), 'std_error': np.float64(0.516617163767399), 'time_range': [np.float64(0.005), np.float64(0.099)]}, 'dmd': {'growth_rate': np.float64(9.42245600752052), 'all_growth_rates': [9.42245600752052, -22.391675313787395, -222.2210281223522, -253.91944705476155, -253.91944705476155], 'mode_amplitudes': [0.005269823908355291, 0.004584023746017402, 1.4476768363358536e-05, 2.837443330028421e-06, 2.837443330028214e-06], 'r_squared': np.float64(0.830681030408103), 'n_modes': 5}, 'fourier': {'growth_rate': np.float64(16.512634867126867), 'dominant_frequency': np.float64(440.0), 'r_squared': np.float64(0.6835479997996369), 'std_error': np.float64(1.1349396116714805)}}",55.51488442905728,0.16094955606248293
input_A0.3_nu1.00e-06_res256_output.npz,0.3,1e-06,256,56.07951616180178,2.7989615072848193e-05,0.981565387965697,2.71716897818394,"[np.float64(0.005), np.float64(0.014)]",10,linear,"{'linear': {'growth_rate': np.float64(56.07951616180178), 'amplitude_0': np.float64(2.7989615072848193e-05), 'r_squared': np.float64(0.981565387965697), 'std_error': np.float64(2.71716897818394), 'time_range': [np.float64(0.005), np.float64(0.014)], 'n_points': 10, 'method': 'linear', 'all_methods': {...}}, 'exponential': {'growth_rate': np.float64(20.022223341757044), 'amplitude_0': np.float64(0.00021118652610616935), 'r_squared': np.float64(0.8971448762383274), 'std_error': np.float64(0.8715897760335369), 'time_range': [np.float64(0.005), np.float64(0.099)]}, 'dmd': {'growth_rate': np.float64(12.662253248072574), 'all_growth_rates': [12.662253248072574, -142.4273575576672, -180.39216104753862, -180.39216104753862, -1465.75491764608], 'mode_amplitudes': [0.0001629404622855187, 5.9987676186602737e-05, 2.7658248282729417e-06, 2.7658248282729438e-06, 3.378503051937048e-07], 'r_squared': np.float64(-1.6662613354793248), 'n_modes': 5}, 'fourier': {'growth_rate': np.float64(18.294399071413835), 'dominant_frequency': np.float64(30.0), 'r_squared': np.float64(0.5087275116645406), 'std_error': np.float64(1.8160329342619734)}}",43.001644572073666,0.3041249170786646
input_A0.5_nu1.00e-03_res256_output.npz,0.5,0.001,256,62.58452801126391,0.0010161799696746167,0.9953478620121124,1.512727972862149,"[np.float64(0.013000000000000001), np.float64(0.022)]",10,linear,"{'linear': {'growth_rate': np.float64(62.58452801126391), 'amplitude_0': np.float64(0.0010161799696746167), 'r_squared': np.float64(0.9953478620121124), 'std_error': np.float64(1.512727972862149), 'time_range': [np.float64(0.013000000000000001), np.float64(0.022)], 'n_points': 10, 'method': 'linear', 'all_methods': {...}}, 'exponential': {'growth_rate': np.float64(18.04109548339827), 'amplitude_0': np.float64(0.003215041201393366), 'r_squared': np.float64(0.9493302721823001), 'std_error': np.float64(0.5120810214448261), 'time_range': [np.float64(0.005), np.float64(0.099)]}, 'dmd': {'growth_rate': np.float64(11.733408066480065), 'all_growth_rates': [-447.35814806752876, 11.733408066480065, -35.296483666147765, -86.05185374850099, -86.05185374850099], 'mode_amplitudes': [6.575301714788876e-05, 0.013416968873286608, 0.010988954660664829, 5.432848119747659e-05, 5.4328481197475e-05], 'r_squared': np.float64(0.6624972095422971), 'n_modes': 5}, 'fourier': {'growth_rate': np.float64(16.455034706944062), 'dominant_frequency': np.float64(150.0), 'r_squared': np.float64(0.684602750855882), 'std_error': np.float64(1.1282241596932032)}}",55.51488442905728,0.12734681256953637
input_A0.5_nu4.64e-04_res256_output.npz,0.5,0.000464,256,54.08010959285142,0.0009206927447092464,0.995332572390348,1.3093243860822783,"[np.float64(0.014), np.float64(0.023)]",10,linear,"{'linear': {'growth_rate': np.float64(54.08010959285142), 'amplitude_0': np.float64(0.0009206927447092464), 'r_squared': np.float64(0.995332572390348), 'std_error': np.float64(1.3093243860822783), 'time_range': [np.float64(0.014), np.float64(0.023)], 'n_points': 10, 'method': 'linear', 'all_methods': {...}}, 'exponential': {'growth_rate': np.float64(17.90290248297618), 'amplitude_0': np.float64(0.0025138127432405536), 'r_squared': np.float64(0.947165213232912), 'std_error': np.float64(0.519198494885349), 'time_range': [np.float64(0.005), np.float64(0.099)]}, 'dmd': {'growth_rate': np.float64(12.721693221807726), 'all_growth_rates': [12.721693221807726, -32.1510104738481, -1684.922390656326, nan, nan], 'mode_amplitudes': [0.010797522415487742, 0.008862619401992438, 0.00012012119079335068, 0.00025534253147395066, 0.00015477031701425532], 'r_squared': np.float64(0.8201155314784756), 'n_modes': 5}, 'fourier': {'growth_rate': np.float64(16.446574446531876), 'dominant_frequency': np.float64(80.0), 'r_squared': np.float64(0.6863345190392832), 'std_error': np.float64(1.1231243931849986)}}",55.51488442905728,0.025844867569514013
input_A0.5_nu1.00e-06_res256_output.npz,0.5,1e-06,256,125.38934777320252,2.1130894488945345e-05,0.9890935570654296,4.655201982045892,"[np.float64(0.0), np.float64(0.009000000000000001)]",10,linear,"{'linear': {'growth_rate': np.float64(125.38934777320252), 'amplitude_0': np.float64(2.1130894488945345e-05), 'r_squared': np.float64(0.9890935570654296), 'std_error': np.float64(4.655201982045892), 'time_range': [np.float64(0.0), np.float64(0.009000000000000001)], 'n_points': 10, 'method': 'linear', 'all_methods': {...}}, 'exponential': {'growth_rate': np.float64(20.08673405447249), 'amplitude_0': np.float64(0.0002732024544778614), 'r_squared': np.float64(0.9004986507438579), 'std_error': np.float64(0.8587177978396762), 'time_range': [np.float64(0.005), np.float64(0.099)]}, 'dmd': {'growth_rate': np.float64(14.857878753667036), 'all_growth_rates': [14.857878753667036, -220.05602463221712, -220.05602463221712, -352.89754556658943, -352.89754556658943], 'mode_amplitudes': [0.00019635630209886772, 6.596497959804911e-06, 6.5964979598049364e-06, 0.00011130734302240464, 0.00011130734302240465], 'r_squared': np.float64(-1.6056895335137011), 'n_modes': 5}, 'fourier': {'growth_rate': np.float64(18.330590061946076), 'dominant_frequency': np.float64(30.0), 'r_squared': np.float64(0.5200523761454123), 'std_error': np.float64(1.7788395946666349)}}",55.51488442905728,1.2586617816603423
input_A0.3_nu2.15e-05_res256_output.npz,0.3,2.15e-05,256,54.11390854143689,0.0002540502405969656,0.9962944403175849,1.1668014567005127,"[np.float64(0.015), np.float64(0.024)]",10,linear,"{'linear': {'growth_rate': np.float64(54.11390854143689), 'amplitude_0': np.float64(0.0002540502405969656), 'r_squared': np.float64(0.9962944403175849), 'std_error': np.float64(1.1668014567005127), 'time_range': [np.float64(0.015), np.float64(0.024)], 'n_points': 10, 'method': 'linear', 'all_methods': {...}}, 'exponential': {'growth_rate': np.float64(18.09655478202957), 'amplitude_0': np.float64(0.0006941192782797483), 'r_squared': np.float64(0.9482598150763563), 'std_error': np.float64(0.5201255921304672), 'time_range': [np.float64(0.005), np.float64(0.099)]}, 'dmd': {'growth_rate': np.float64(9.293601048889744), 'all_growth_rates': [-111.2030578955846, 9.293601048889744, -26.715976781643445, -334.7670160735945, -334.7670160735945], 'mode_amplitudes': [7.282247017147349e-06, 0.003689812375886541, 0.0031568227970670826, 1.0753464286985302e-05, 1.0753464286985238e-05], 'r_squared': np.float64(0.7076046286647977), 'n_modes': 5}, 'fourier': {'growth_rate': np.float64(16.544732830109833), 'dominant_frequency': np.float64(180.0), 'r_squared': np.float64(0.6860414348954923), 'std_error': np.float64(1.1305967040005271)}}",43.001644572073666,0.2584148601744364
input_A0.5_nu2.15e-06_res256_output.npz,0.5,2.15e-06,256,53.22257932524514,0.00015521666398400744,0.9858951507774277,2.250711257600174,"[np.float64(0.014), np.float64(0.023)]",10,linear,"{'linear': {'growth_rate': np.float64(53.22257932524514), 'amplitude_0': np.float64(0.00015521666398400744), 'r_squared': np.float64(0.9858951507774277), 'std_error': np.float64(2.250711257600174), 'time_range': [np.float64(0.014), np.float64(0.023)], 'n_points': 10, 'method': 'linear', 'all_methods': {...}}, 'exponential': {'growth_rate': np.float64(18.462519626178583), 'amplitude_0': np.float64(0.0004022252675812457), 'r_squared': np.float64(0.9338276425780031), 'std_error': np.float64(0.610771994440274), 'time_range': [np.float64(0.005), np.float64(0.099)]}, 'dmd': {'growth_rate': np.float64(14.387410059876862), 'all_growth_rates': [-189.2925339702564, -611.606573829592, -611.606573829592, 14.387410059876862, -132.90961106393758], 'mode_amplitudes': [4.3613932559275573e-08, 6.503667498907539e-07, 6.503667498907443e-07, 0.00014844639732465272, 4.672888561871491e-05], 'r_squared': np.float64(-2.6136368297281485), 'n_modes': 5}, 'fourier': {'growth_rate': np.float64(17.164312995264634), 'dominant_frequency': np.float64(10.0), 'r_squared': np.float64(0.6089276880250026), 'std_error': np.float64(1.389501631413927)}}",55.51488442905728,0.04129172072296191
input_A0.3_nu1.00e-05_res256_output.npz,0.3,1e-05,256,65.87831612448132,0.00016360606163156422,0.9934446392195599,1.8920123214643285,"[np.float64(0.011), np.float64(0.02)]",10,linear,"{'linear': {'growth_rate': np.float64(65.87831612448132), 'amplitude_0': np.float64(0.00016360606163156422), 'r_squared': np.float64(0.9934446392195599), 'std_error': np.float64(1.8920123214643285), 'time_range': [np.float64(0.011), np.float64(0.02)], 'n_points': 10, 'method': 'linear', 'all_methods': {...}}, 'exponential': {'growth_rate': np.float64(18.04465745192858), 'amplitude_0': np.float64(0.0005375083912414973), 'r_squared': np.float64(0.9492346348891002), 'std_error': np.float64(0.5127653863025293), 'time_range': [np.float64(0.005), np.float64(0.099)]}, 'dmd': {'growth_rate': np.float64(10.254730631463469), 'all_growth_rates': [10.254730631463469, -29.227923065961694, -412.9984689120883, -135.30566274931613, -135.30566274931613], 'mode_amplitudes': [0.0026718787113590046, 0.002271374378056471, 1.6769021396492733e-05, 1.3054352785157733e-05, 1.3054352785157696e-05], 'r_squared': np.float64(0.7404917514109449), 'n_modes': 5}, 'fourier': {'growth_rate': np.float64(16.484013685692126), 'dominant_frequency': np.float64(210.0), 'r_squared': np.float64(0.6875452413203085), 'std_error': np.float64(1.1225168269813335)}}",43.001644572073666,0.5319952708800427
